"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",-0.9999999999999996,0.0,0.0,-0.999999999999996,0.0,12.999998012728916
"(1, 2, False)",-1.021744211349125,-1.0000003068820627,0.0,-0.999999999999801,0.0,0.0
"(1, 3, False)",-1.0528770316639264,-1.00075003426147,0.0,-0.9999999999995943,0.0,12.999998608910241
"(1, 4, False)",-1.1916749027881945,-1.0360660485915552,0.0,-0.9999999999146165,0.0,0.0
"(1, 5, False)",0.0,-0.9999999999988178,0.0,-0.9999999998780238,0.0,0.0
"(2, 1, False)",-0.9999999998257483,0.0,-1.0030655098950336,-1.0000000013325805,0.0,0.0
"(2, 2, False)",-1.9993583890048425,-1.9989980670990324,-1.999356609249984,-1.9993528828702307,0.0,0.0
"(2, 3, False)",-1.999269473298683,-1.9996049992206426,-1.9996205566905043,-1.9995578246054257,0.0,0.0
"(2, 4, False)",-1.9961204957713918,-1.9974611443687,-1.9975042259946674,-1.9970236646277901,0.0,0.0
"(2, 5, False)",0.0,-0.9999999998257483,-1.0000459788940403,-1.001017557334341,0.0,0.0
"(3, 1, False)",-0.9999999989632204,0.0,-1.0543060338109662,-1.036093001947516,0.0,0.0
"(3, 2, False)",-1.9633687251377125,-1.9521309555491204,-1.973383132427031,-1.9550788371021,0.0,0.0
"(3, 3, False)",-1.9991202103163335,-1.999172090301096,-1.9994147220230734,-1.9993545401922739,0.0,0.0
"(3, 4, False)",-1.9995349481955609,-1.9992983688508623,-1.9994081088554663,-1.9995677521888044,0.0,0.0
"(3, 5, False)",0.0,-0.9999999999899545,-1.0011053602362727,-1.023479372458011,0.0,0.0
"(4, 1, False)",-0.9999889557232573,0.0,-1.0020785240021683,-1.0017111370568248,0.0,0.0
"(4, 2, False)",-1.6186281476349575,-1.6017644180652097,-1.3467814265617162,-1.6144989458797803,0.0,0.0
"(4, 3, False)",-1.982216401198855,-1.9650310507839537,-1.9822738536072115,-1.9815767167491478,0.0,0.0
"(4, 4, False)",-1.9990609524708152,-1.999062115319725,-1.9983497676083277,-1.9989767651289587,0.0,0.0
"(4, 5, False)",0.0,-0.9999999999856495,-1.005825497938659,-1.0018797421097907,0.0,0.0
"(5, 1, False)",-0.9999962118130772,0.0,-0.9999889557232573,0.0,0.0,0.0
"(5, 2, False)",-1.002515408215194,-0.9596463929999997,-0.9999842224617963,0.0,0.0,0.0
"(5, 3, False)",-1.0000131068140856,-1.0033772034980823,-0.9999999632966317,0.0,0.0,0.0
"(5, 4, False)",-1.0360737582989052,-1.000001228300427,-0.9999999999794993,0.0,0.0,12.964565561517087
"(5, 5, False)",0.0,-0.9999999999929681,-0.9999999999988178,0.0,0.0,0.0
